All,Semua
"Gift Card Is Redeemable","Kartu hadiah sudah ditebus"
"We cannot create this gift card.","Kami tidak bisa membuat kartu hadiah ini."
"Gift Card Accounts","Rekening kartu hadiah"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Beberapa akun kartu hadiah tidak dibuat dengan benar. anda bisa membuat akun kartu hadiah secara manual<a href=""%1"">disini</a>."
"Duplicate amount found.","Jumlah duplikat ditemukan."
"Something went wrong while preparing the gift card.","Ada yang salah ketika menyiapkan kartu hadiah."
"Please specify a gift card amount.","Mohon tentukan jumlah kartu hadiah."
"Please specify all the required information.","Mohon tentukan semua informasi yang dibutuhkan."
"Gift Card max amount is %1","Jumlah maksimal kartu hadiah adalah %1"
"Gift Card min amount is %1","Jumlah minimal kartu hadiah adalah %1"
"Please specify a recipient name.","Mohon tentukan nama penerima."
"Please specify a sender name.","Mohon tentukan nama pengirim."
"Please specify a recipient email.","Mohon tentukan email penerima."
"Please specify a sender email.","Mohon tentukan email pengirim."
"Treat Balance as Store Credit","Pakai saldo sebagai kredit toko"
"Lifetime (days)","Seumur hidup (hari)"
"Allow Message","Izinkan pesan"
"All Websites [%1]","Semua situs web [%1]"
"Choose an Amount...","Pilih jumlah..."
"Other Amount...","Jumlah lain..."
"Amount in %1","Dalam jumlah %1"
Minimum,Minimal
Maximum,Maksimal
"Recipient Name","Nama penerima"
"Recipient Email","Email penerima"
"Maximum length of the message is %1 characters.","Panjang maksimal pesan adalah %1 karakter."
"Delete Amount","Hapus jumlah"
"Minimum: %1","Minimal: %1"
"Maximum: %1","Maksimal: %1"
"You've been sent a gift from %store_name","Anda sudah mengirim hadiah dari %snama_toko"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%s pengirim sudah mengirimi anda kartu hadiah untuk di gunakan pada <a href=""%stoko_url"">%snama_toko</a> dan sekarang bisa digunakan untuk pembelian."
"Gift Cards","Kartu hadiah"
"Gift Card Email Settings","Pengaturan email kartu hadiah"
"Gift Card Notification Email Sender","Email pemberitahuan pengirim kartu hadiah"
"Gift Card Notification Email Template","Email pemberitahuan template kartu hadiah"
"Gift Card General Settings","Pengaturan umum kartu hadiah"
Redeemable,Menebus
"If empty no expiration.","Jika kosong tidak akan kadaluarsa."
"Allow Gift Message","Izinkan pesan hadiah"
"Gift Message Maximum Length","Panjang maksimal pesan hadiah"
"Generate Gift Card Account when Order Item is","Ketika memesan item akan menghasilkan akun kartu hadiah"
"Add Gift Card Account","Tambah akun kartu hadiah"
"Save & Send Email","Simpan & kirim email"
"Edit Gift Card Account: %1","Edit akun kartu hadiah: %1"
"New Gift Card Account","Akun kartu hadiah baru"
Information,Informasi
"Gift Card Code","Kode kartu hadiah"
"Send Gift Card","Kirim kartu hadiah"
"Send Email from the Following Store View","Kirim email dari tampilan toko berikut"
"-- First Please Select a Website --","-- pertama silahkan pilih situs web --"
"Gift Card Account","Akun kartu hadiah"
History,Riwayat
"This gift card account has been deleted.","Akun kartu hadiah ini sudah dihapus."
"We couldn't find a gift card account to delete.","Kami tidak dapat menemukan akun kartu hadiah untuk dihapus."
"Edit Gift Card Account","Edit akun kartu hadiah"
"New Account","Akun baru"
"New code pool was generated.","Menghasilkan kode kolam baru."
"We were unable to generate a new code pool.","Kami tidak bisa menghasilkan kode kolam baru."
"Please select a gift card account(s)","Mohon pilih rekening kartu hadiah(s)"
"You deleted a total of %1 records.","Total rekaman yang anda hapus %1."
"You saved the gift card account.","Anda menyimpan akun kartu hadiah."
"An email was not sent because the gift card account is not active.","Email tidak bisa di kirim karena akun kartu hadiah tidak aktif."
"You saved the gift card account, but an email was not sent.","Anda menyimpan akun kartu hadiah, namun email tidak terkirim."
"We will refund the gift card amount to your customer’s store credit","Kami akan mengembalikan jumlah kartu hadiah ke pelanggan kredit toko anda"
"Please enable Store Credit to refund the gift card amount to your customer","Mohon aktifkan kredit toko untuk mengembalikan jumlah kartu hadiah ke pelanggan anda"
"Gift Card ""%1"" was added.","""%1"" kartu hadiah telah ditambahkan."
"We cannot apply this gift card.","Kami tidak dapat menerapkan kartu hadiah ini."
"Gift Card ""%1"" was removed.","""%1"" kartu hadiah telah dihapus."
"Gift Card ""%1"" was redeemed.","""%1"" kartu hadiah telah ditebus."
"We cannot redeem this gift card.","Kami tidak bisa menebus kartu hadiah ini."
"The expiration date must be set in the future.","Tanggal kadaluarsa harus di atur di masa depan."
"The balance cannot be less than zero.","Saldo tidak boleh kurang dari nol."
"This gift card account is already in the quote.","Akun kartu hadiah ini sudah ada dalam kutipan."
"Please correct the gift card account code: ""%1"".","Mohon periksan kode akun kartu hadiah: ""%1""."
"Please correct the gift card account ID. Requested code: ""%1""","Mohon periksa ID akun kartu hadiah. kode yang diminta: ""%1"""
"Please correct the gift card account website: %1.","Mohon periksa situs web akun kartu hadiah: %1."
"Gift card account %1 is not enabled.","Akun kartu hadiah %1 tidak diaktifkan."
"Gift card account %1 is expired.","Akun kartu hadiah %1 sudah kadaluarsa."
"Gift card account %1 has a zero balance.","Akun kartu hadiah %1 memiliki saldo nol."
"Gift card account %1 balance is lower than the charged amount.","Saldo akun kartu hadiah %1 lebih rendah dari jumlah yang dibebankan."
Available,Tersedia
Redeemed,Tebusan
Expired,Kadaluarsa
"Please enter a valid customer ID.","Harap masukkan ID pelanggan yang valid."
"Order #%1.","Pesanan #%1."
"Recipient: %1.","Penerima: %1."
"Customer #%1.","Pelanggan #%1."
"Please assign a gift card account.","Mohon tetapkan akun kartu hadiah."
"Unknown history action.","Riwayat tindakan tidak diketahui."
"We were unable to create full code pool size. Please check settings and try again.","Kami tidak dapat membuat kode kolam ukuran penuh. mohon periksa pengaturan dan coba lagi."
"No codes left in the pool.","Tidak ada kode yang tertinggal di kolam."
"Gift Card Redeemed: %1. For customer #%2.","Tebusan kartu hadiah: %1. Untuk pelanggan #%2."
Alphabetical,"Menurut abjad"
Numeric,Numerik
"The maximum generated code length is 255. Please correct your settings.","Panjang maksimal kode yang dihasilkan adalah 255. harap perbaiki pengaturan anda."
"test message","pesan tes"
"Are you sure you want to continue without saving your changes?","Anda yakin untuk melanjutkan tanpa menyimpan perubahan?"
Generate,Pembuatan
"Code Pool used: ","Gunakan kode kolam: "
" (free "," (gratis "
" of "," dari "
"Refund Gift Cards to Store Credit","Kembalikan kartu hadiah ke kredit toko"
"Add Gift Card","Tambah kartu hadiah"
"Gift Card (%1)","Kartu hadiah (%1)"
"This won't take long . . .","Ini tidak akan lama . . ."
"Enter gift card code","Masukkan kode kartu hadiah"
"Redeem Gift Card","Tebus kartu hadiah"
"Check status and balance","Periksa status dan saldo"
"Have a gift card? ","Punya kartu hadiah? "
"Click here","Klik disini"
" to redeem it."," untuk menebusnya."
"Enter the gift card code","Masukkan kode kartu hadiah"
"Check Gift Card status and balance","Periksa status dan saldo kartu hadiah"
"Gift Card: ","Kartu hadiah: "
"Current Balance: ","Saldo saat ini: "
"Expires: ","Kadaluarsa: "
"Please enter a valid gift card code.","Mohon masukkan kode kartu hadiah yang valid."
"Add or remove gift cards","Tambah atau hapus kartu hadiah"
"Gift Card amount applied to order:","Jumlah kartu hadiah sesuai pesanan:"
"You've been sent a gift card for use at %store_name and it is now ready to be used for purchases.","Anda telah mengirim kartu hadiah untuk digunakan pada %snama_toko dan sekarang siap digunakan untuk pembelian."
"Gift Card Code: %code","Kode kartu hadiah: %c Kode"
"The card has a balance of %balance and can be used at ","Kartu tersebut memiliki saldo %bsaldo dan bisa di gunakan di "
%store_name,%snama_toko
"Apply Gift Card","Terapkan kartu hadiah"
"Gift Card:","Kartu hadiah:"
"See Balance","Lihat saldo"
"Gift Card amount applied to order: ","Jumlah kartu hadiah sesuai pesana: "
"Email Sent from Gift Card Account Management","Email dikirim dari manajemen akun kartu hadiah"
"Gift Card Email Sender","Mengirim email kartu hadiah"
"Gift Card Template","Template kartu hadiah"
"Gift Card Account General Settings","Pengaturan umum akun kartu hadiah"
"Code Length","Panjang Kode"
"Excluding prefix, suffix and separators.","Tidak termasuk awalan, akhiran dan pemisah."
"Code Format","Format Kode"
"Code Prefix","Awalan Kode"
"Code Suffix","Akhiran Kode"
"Dash Every X Characters","Mengambil setiap karakter x"
"if empty no separation","jika kosong tidak ada pemisahan"
"New Pool Size","Ukuran kolam baru"
"Low Code Pool Threshold","Ambang batas kode rendah kolam"
"IMPORTANT: Be sure to save your configuration before running generation process.","PENTING: pastikan menyimpan konfigurasi anda sebelum menjalankan proses pembangkitan."
"Are you sure you want to delete these gift card accounts?","Anda yakin ingin menghapus akun kartu hadiah ini?"
"Unknown entity type","Jenis entitas tidak diketahui"
"Test label","Label uji"
"Gift Options","Pilihan hadiah"
"Do you have any gift items in your order?","Apakah anda memiliki item hadiah dalam pesanan?"
"Add Gift Options","Tambahkan pilihan hadiah"
"Gift Options for the Entire Order","Pilihan hadiah untuk semua pesanan"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Biarkan kotak ini kosong jika Anda tidak ingin meninggalkan pesan hadiah untuk keseluruhan pesanan."
"Gift Options for Individual Items","Pilihan hadiah untuk barang perorangan"
"<span>Item %1</span> of %2",<span>barang%1</span>tentang%2
"Leave a box blank if you don't want to add a gift message for that item.","Biarkan kotak kosong jika Anda tidak ingin menambahkan pesan hadiah untuk barang itu."
"Add Gift Options for the Entire Order","Tambahkan pilihan hadiah untuk seluruh pesanan"
"You can leave this box blank if you don't want to add a gift message for this address.","Anda dapat membiarkan kotak ini kosong jika Anda tidak ingin menambahkan pesan hadiah untuk alamat ini."
"Add Gift Options for Individual Items","Tambahkan pilihan hadiah untuk barang perorangan"
"You can leave this box blank if you don't want to add a gift message for the item.","Anda dapat membiarkan kotak ini kosong jika Anda tidak ingin menambahkan pesan hadiah untuk barang tersebut."
"Gift Message (optional)","Pesan hadiah (opsional)"
"Gift options","Pilihan hadiah"
"Allow Gift Messages on Order Level","Izinkan pesan hadiah di tingkat pesanan"
"Allow Gift Messages for Order Items","Izinkan pesan hadiah untuk pesan barang"
"Are you sure you want to delete this gift registry?","Anda yakin ingin menghapus pendaftaran hadiah ini?"
"Delete Registry","Hapus pendaftaran"
"Gift Registry Entity","Pendaftaran Hadian Entititas"
"Product ID","Nomor produk"
"Add to Gift Registry","Tambahkan ke Pendaftaran Hadiah"
"Are you sure you want to add these products?","Anda yakin ingin menambahkan produk ini?"
Requested,Diminta
Fulfilled,Terpenuhi
Note,Catatan
"Update Quantity","Perbarui Jumlah"
"Remove Item","Hapus Barang"
"Sharing Information","Membagikan Informasi"
Emails,Email
"Send From","Kirim Dari"
"Share Gift Registry","Berbagi Pendaftaran Hadiah"
"Gift Registry","Pendaftaran Hadiah"
Event,Acara
Registrants,Pendaftaran
"Event Date","Tanggal Acara"
"Total Items","Jumlah Jenis"
Remaining,Sisa
Public,Publik
"Gift Registry Types","Jenis Pendaftaran Hadiah"
"Add Gift Registry Type","Masukkan Jenis Pendaftaran Hadiah"
"If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?","Jika kamu menghapus jenis pendaftaran hadiah ini, Kamu juga akan menghapus pendaftar pelanggan yang menggunakan jenis ini. Apakah kamu ingin melanjutkan?"
"Edit '%1' Gift Registry Type","Ubah '%1' Jenis Pendaftaran Hadiah"
"New Gift Registry Type","Jenis Pendaftaran Hadiah Baru"
Short,Pendek
Long,Panjang
Full,Penuh
"Is Listed",Terdaftar
"Edit Gift Registry","Ubah Pendaftaran Hadia"
"Create Gift Registry","Buat Pendaftran Hadiah"
"Please select a region, state or province","Silahkan pilih wilayah, negara bagian atau propinsi"
"View Gift Registry %1","Lihat Pendaftaran Hadiah %1"
"Share '%1' Gift Registry","Bagikan '%1' Pendaftaran Hadiah"
"Gift Registry Search","Cari pendaftaran Hadiah"
"Select Search Type","Pilih Jenis Pencarian"
Registrant,Pendaftar
"Registry owner","Pemilik Pendaftaran"
"Shopping cart items have been added to gift registry.","Jenis keranjang belanjaan telah ditambahkan ke pendaftaran hadiah."
"Virtual, Downloadable, and virtual Gift Card products cannot be added to gift registries.","Virtual, unduhan, dan virtual tidak dapat ditambahkan ke pendaftaran hadiah."
"We can't add shopping cart items to the gift registry right now.","Kami tidak dapat menambahkan barang keranjang belanja ke pendaftaran hadiah sekarang juga."
"You deleted this gift registry entity.","Anda menghapus jumlah pendaftaran hadiah ini."
"We couldn't delete this gift registry entity.","Kami tidak dapat menghapus Jumlah pendaftaran hadiah ini."
"Edit '%1' Gift Registry","Ubah %1' Pendaftaran Hadiah"
"Something went wrong while editing the gift registry.","Ada yang Kesalahan saat mengebuh pendaftaran hadiah."
"%1 email(s) were sent.","%1 email(s) dikirim."
"We couldn't send '%1 of %2 emails.","Kami tidak bisa Mengirim '%1 of %2 email."
"You updated this gift registry.","Kamu memperbarui pendaftaran hadiah ini."
"We can't update these gift registry items right now.","Kami tidak dapat memperbarui barang pendaftaran hadiah ini sekarang juga."
"You deleted the gift registry type.","Kamu hapus Jenis pendaftran hadia."
"We couldn't delete this gift registry type.","Kami tidak bisa menghapus jenis pendaftaran hadiah."
"Edit Type","Ubah Jenis"
"New Type","Jenis Baru"
"You saved the gift registry type.","Kamu simpan jenis pendaftaran hadiah."
"We can't save this gift registry type right now.","Kami tidak dapat menyimpan jenis pendaftaran hadiah ini sekarang juga."
"%1 item(s) have been added to the gift registry.","%1 jenis(s) telah ditambahkan ke pendaftaran hadiah."
"We have nothing to add to this gift registry.","Kami tidak memiliki apapun untuk ditambahkan ke pendaftaran hadiah ini."
"You can't add virtual products, digital products or gift cards to gift registries.","Kamu tidak boleh menambahkan produk virtual, produk digital atau kartu hadiah ke pendaftar hadiah."
"You deleted this gift registry.","Kamu menghapus pendaftaran hadiah ini."
"Something went wrong while deleting the gift registry.","Ada yang tidak benar saat menghapus pendaftaran hadiah."
"You saved this gift registry.","Kamu simpan pendaftaran hadiah."
"We couldn't save this gift registry.","Kami tidak dapat menyimpan pendaftaran hadiah ini."
"Gift Registry Items","Jenis Pendaftaran Hadiah"
"Something went wrong while sending email(s).","Ada yang tidak benar saat mengirim email(s)."
"Something went wrong while sharing the gift registry.","Ada yang tidak benar saat berbagi pendaftaran hadiah."
"You updated the gift registry items.","Kamu memperbarui jenis pendaftaran hadiah."
"We couldn't update the gift registry.","Kami tidak dapat memperbarui pendaftaran hadiah."
"The wish list item has been added to this gift registry.","Daftar Jenis keinginan telah ditambahkan ke Pendaftran hadiah ini."
"We couldn’t add your wish list items to your gift registry.","Kami tidak dapat menambahkan jenis daftar keinginan kamu kependaftaran hadiah kamu."
"Please enter correct search options.","Silahkan masukkan pilihan pencarian yang benar."
"Please enter at least 2 letters of the first name.","Silahkan masukkan paling sedikit 2 huruf dari nama depan."
"Please enter at least 2 letters of the last name.","Silahkan masukkan paling sedikit 2 huruf dari nama belakang."
"Please enter a valid email address.","Silahkan masukkan alamat email yang valid."
"Please enter a gift registry ID.","Silahkan masukkan Nomor pendaftaran hadiah."
"Please enter the quantity of items to add to cart.","Silahkan masukkan jumlah jenis yang akan ditambahkan ke keranjang."
"Gift Registry Info","Informasi Pendaftaran Hadiah"
"Please enter the ""%1"".","Silahkan masuk ke ""%1""."
"Please enter the correct ""%1"".","Silahkan masukkan yang benar ""%1""."
"Custom Types","Jenis Ubahan"
"Static Types","Jenis Tetap"
"Product has required options.","Produk memiliki pilihan yang diperlukan."
"You need to enter sender data.","Kamu perlu memasukkan data pengirim."
"Please add invitees.","Silahkan tambahkan undangan."
"You cannot send emails to more than %1 recipients at once","Kamu tidak dapat mengirim email ke lebih dari %1 penerima sekaligus"
"Please enter a valid invitee email address.","Silahkan masukkan undangan alamat email yang benar."
"Please enter an invitee name.","Silahkan masukkan nama undangan."
"You shared the gift registry for %1 emails.","Kamu berbagi pendaftaran hadiah untuk %1 email."
"We couldn't share the registry.","Kami tidak dapat mebagikan pendaftaran."
Private,Privasi
"Please enter the title.","Silahkan masukkan judulnya."
"Please enter the message.","Silahkan masukkan pesan."
"Please enter correct the Privacy setting.","Silahkan masukkan pengaturan pribadi yang benar."
"We cannot specify the product.","Kami tidak bisa menetapkan produknya."
"The quantity of ""%1"" product added to cart exceeds the quantity desired by the Gift Registry owner. The quantity added has been adjusted to meet remaining quantity %2.","Jumlah dari ""%1"" produk yang ditambahkan ke keranjang melebihi jumlah yang diinginkan oleh pemilik pendaftaran Hadian. Jumlah yang ditambahkan telah disesuaikan untuk memenuhi jumlah yang tersisa %2."
"Existing quantity of ""%1"" product in the cart has been replaced with quantity %2 just requested.","Jumlah produk ""%1"" yang ada dikeranjan telah diganti dengan jumlah %2 yang baru saja diminta."
"This product(s) is out of stock.","Produk(s) ini habis."
"Please correct the product for adding the item to the quote.","Periksa produk untuk menambahkan ke jenis penawaran."
"Please correct the item option format.","Mohon periksa format jenis pilihan."
"An item option with code %1 already exists.","Pilihan item dengan kode %1 sudah tersedia."
New,Baru
"Please enter the first name.","Silahkan masukkan nama depan."
"Please enter the last name.","Harap masukkan nama belakang."
"Please enter a valid email address(for example, daniel@x.com).","Silahkan masukkan alamat email yang benar (misalnya, daniel@x.com)."
"Ship to the recipient's address.","Kirim ke alamat penerima."
"-- All --",--Semua--
"Unknown gift registry identifier","Pengenal pendaftaran hadiah tak dikenal"
"All Forms","Semua Bentuk"
"Registrant Name Search","Cari Nama pendaftaran"
"Registrant Email Search","Cari Email pendaftaran"
"Gift Registry ID Search","Cari Nomor Pendaftaran Hadiah"
Owner,Pemilik
"Created on","Dibuat di"
"Attribute Group","Perlengkapan Grup"
"Is Required",Dibutuhkan
"Is Searcheable","Dapat dicari"
"We found an attribute with this static input type already in the gift registry type. Please select a different input type.","Kami menemukan perlengkapan dengan jenis masukan statis ini sudah ada di jenis pendaftaran hadiah. Silahkan masukan jenis yang berbeda."
"Show Region","Tampilkan Wilayah"
"Date Format","Format tanggal"
"Select a shipping address from your address book or enter a new address.","Pilih alamat pengiriman dari buku alamat kamu atau masukkan alamat baru."
"Add All To Gift Registry","Tambahkan Semua ke Pendaftaran Hadiah"
"Ship to registrant's address","Kirim ke alamat pendaftar"
"Use the gift registry shipping address","Gunakan alamat pengiriman pendaftaran hadiah"
"Added On",Menambahkan
"Qty Fulfilled","Jumlah Memenuhi"
"Update Gift Registry","Perbarui Pendaftaran Hadiah"
"This gift registry has no items.","Pendaftaran hadiah ini tidak memiliki pilihan."
"Created On","Dibuat di"
"Manage Items","Kelola pilihan"
Share,Bagikan
"You haven't created a gift registry yet.","Anda belum membuat pendaftaran hadiah."
Sender,Pengirim
Invitee,"Para undangan"
"Maximum %1 email addresses.","Maksimal %1 alamat email."
"Add Invitee","Tambahkan Undangan"
"Gift Registry Type","Jenis Pendaftaran Hadiah"
"Please select a gift registry type.","Silahkan Pilih Jenis pendaftaran hadiah."
"Registrant Information","Pendaftaran Informasi"
"Maximum %1 registrants.","Maksimal %1 pendaftaran."
"Add Registrant","Masukkan Pendaftaran"
Type:,Jenis:
"Privacy Settings","Pengaturan Pribadi"
"Gift Registry Items Updated","Perbaharui jenis Pendaftaran Hadiah"
"Requested Quantity","Jumlah Permintaan"
"Fulfilled Quantity","Jumlah Terisi"
"Total Fulfilled Quantity","Total Jumlah Tercapai"
"Remaining Quantity","Jumlah sisa"
"Customize and Add to Gift Registry","Sesuaikan dan Masukkan ke Pendaftaran Hadiah"
"Required Fields","Bidang yang Diperlukan"
"Search Options","Pengaturan Pencarian"
"For better search results, first choose a gift registry type. By default, we search all registry types.","Untuk hasil pencarian yang lebih baik, pertama pilih jenis pendaftarn hadiah. Secara Standar, kami mencari semua jenis pendaftaran."
"Type Specific Options","Jenis Pilihan Spesifik"
"Registrant Email","Pendaftaran Email"
"Gift Registry ID","Nomor Pendaftaran Hadiah"
"Search Results","Hasil Pencarian"
Location,Lokasi
"Please enter at least two letters of the name.","Silahkan masukkan setidaknya dua huruf dari namanya."
"Search By","Cari Dengan"
"Please enter at least two letters.","Silahkan masukkan setidaknya dua Huruf."
"Unit Price","Satuan Harga"
"Gift Registry created at %store_name","Pendaftaran Hadiah dibuat di %store_name"
"You have successfully created the new gift registry ""%registry_name"".","Anda telah berhasil membuat pendaftaran hadiah baru ""%registry_name""."
"Now you can add products to your gift registry.","Sekarang anda dapat menambahkan produk ke Pendafataran hadiah anda."
"Simply browse to <a href=""%store_url"">%store_name</a> and add the products you want to your shopping cart or wish list.","Cukup kunjungi di <a href=""%store_url"">%store_name</a> dan tambahkan produk yang kamu inginkan ke keranjang belanja atau daftar keinginan kamu."
"You can then add the products to your registry from your shopping cart or wish list page.","Kamu kemudian dapat menambahkan produk kependaftaran kamu dari daftar keranjang belanja atau daftar keinginan kamu."
"You can also share it with your friends and family by logging into your account and visiting the Gift Registry tab.","Kamu juga dapat membaginya dengan teman dan keluarga kamu dengan masuk ke akun kamu dan mengunjungi lebel Pendaftaran Hadiah."
"Or you can email the following link and gift registry ID to them:","Atau Kamu bisa mengirim email ke situs berikut dan Nomor pendaftaran hadiah untuk mereka:"
"Registry Location:","Lokasi Pendaftaran:"
"Registry ID:","Nomor Pendaftaran:"
"Gift Registry shared at %store_name","Pendaftaran hadiah dibagikan di %store_name"
"You can view and purchase items from this gift registry at <a href='%account_url'>%store_name</a>.","Kamu dapat melihat dan membeli barang dari pendaftaran hadiah ini di <a href='%account_url'>%store_name</a>."
"Gift Registry:","Pendaftaran Hadiah:"
"Created For:","Dibuat Untuk:"
"You can create your own gift registry on <a href='%account_url'>%store_name</a> and share it with friends and family.","Kamu dapat membuat pendaftran hadiah kamu sendiri di <a href='%account_url'>%store_name</a> dan membaginya dengan teman dan keluarga."
"Gift Registry updated at %store_name","Pendaftaran hadiah diperbarui di %store_name"
"The following items have been purchased from your gift registry ""%registry_name"":","Barang berikut telah dibeli dari registri hadiah Anda ""%registry_name"":"
"You can sign in to your account to view more details about this gift registry.","Kamu dapat masuk ke akun untuk melihat rincian lebih lanjut tentang pendaftaran hadiah ini."
"Ship to Recipient Address","Kirim ke Alamat Penerima"
"Recipient Address","Alamat Penerima"
"Use gift registry shipping address","Gunakan alamat pengiriman pendaftaran hadiah"
"The only place to change the number of gift registry items is on the Gift Registry Info page or directly in your cart.","Satu-satunya tempat untuk mengubah jumlah pilihan Pendaftaran hadiah ada di halaman Info atau langsung di keranjang anda."
"Gift Registry Details","Rincian Pendaftaran Hadiah"
"Event Data","Data Acara"
"Event Information","Informasi Acara"
"Event Country","Acara Negara"
"My event special","Acara Spesial Saya"
"My special attribute","Spesial Perlengkapan Saya"
"Gift Registry Section","Bagikan Pendaftaran Hadiah"
"General Options","Pilihan Umum"
"Enable Gift Registry","Aktifkan Pendaftaran Hadiah"
"Maximum Registrants","Maksimal Pendaftaran"
"Owner Notification","Pemberitahuan Pemilik"
"Gift Registry Sharing","Berbagi Pendaftaran Hadiah"
"Maximum Sent Emails Threshold","Maksimal Permulaan Email Terkirim"
"Gift Registry Update","Perbaharui Pendaftaran Hadiah"
"Event Region Id","Nomor Wilayah Acara"
"Event Region Text","Teks Wilayah Acara"
"Event Location","Lokasi Acara"
"Gift Registry Quick Search Form","Formulir Pencarian Cepat Pendaftaran Hadiah"
"Quick Search Form Types","Jenis Bentuk Pencarian Cepat"
"Default Template","Template Standar"
Listed,Daftar
"Gift Wrapping","Pembungkus Hadiah"
"Add Gift Wrapping","Tambah Pembungkus Hadiah"
"Are you sure you want to delete this gift wrapping?","Apakah anda yakin akan menghapus pembungkus hadiah ini?"
"Edit Gift Wrapping ""%1""","Edit Pembungkus Hadiah ""%1"""
"New Gift Wrapping","Bungkus Hadiah Baru"
"Gift Wrapping Information","Informasi Pembungkus Hadiah"
"Gift Wrapping Design","Desain Pembungkus Hadiah"
"You deleted the gift wrapping.","Anda menghapus pembungkus kado."
"You have not uploaded the image.","Anda belum mengunggah gambar."
"You saved the gift wrapping.","Anda menyimpan pembungkus kado."
"Excluding Tax","Tidak termasuk Pajak"
"Including Tax","Termasuk Pajak"
"Including and Excluding Tax","Termasuk dan Tidak termasuk Pajak"
"The image content must be valid data.","Konten gambar harus data yang valid."
"The image extension ""%1"" not allowed.","Ekstensi gambar ""%1"" tidak diizinkan."
"Provided image name contains forbidden characters.","Nama gambar yang diberikan mengandung konten terlarang."
"The image MIME type is not valid or not supported.","Jenis gambar MIME tidak valid atau tidak mendukung."
"Printed Card","Kartu Cetak"
"Send Gift Receipt","Kirim Tanda Penerimaan Hadiah"
"Add Printed Card","Tambahkan Kartu Cetak"
"Other Gift Options","Pilihan Hadiah Lainnya"
"Gift wrapping","Pembungkus kado"
"Printed card","Kartu Cetak"
"Gift receipt","Tanda terima Hadiah"
"Pick a paper of your choice (optional)","Pilihlah kertas pilihan anda (opsional)"
"No image","Tidak ada gambar"
"Gift Receipt","Tanda Terima Hadiah"
"Allow Gift Receipt","Izinkan Tanda Penerima Hadiah"
"Allow Printed Card","Izinkan Kartu Cetak"
"Display Gift Wrapping Prices","Tampilkan Harga Pembungkus Hadiah"
"Display Printed Card Prices","Tampilkan Harga Kartu Cetak"
"Are you sure you want to delete the selected gift wrappings?","Apakah anda yakin akan menghapus pembungkus hadiah yang dipilih?"
"Gift Wrap Design","Desain Bungkus Hadiah"
"Grouped Products","Produk yang Dikelompokkan"
"Please specify the quantity of product(s).","Silahkan tentukan jumlah produk(s)."
"Cannot process the item.","Tidak dapat memproses item."
"Add Products to Group","Tambahkan Produk ke Grup"
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","Produk yang dikelompokkan terdiri dari beberapa, produk mandiri telah hadir dalam grup.
Anda dapat menawarkan variasi tanggal produk, atau mengelompokkan menurut musim atau tema untuk membuat set koordinasi. Setiap produk dapat dibeli secara terpisah, atau sebagian dari produk."
"There are no grouped products.","Tidak ada produk yang dikelompokkan."
"Default Qty","Qty Default"
"Starting at","Mulai dari"
"Grouped product items","Item produk yang dikelompokkan"
"Grouped Product Image","Gambar produk yang dikelompokkan"
"Export Settings","Pengaturan Ekspor"
"Entity Type","Jenis Entity"
"Export File Format","Ekspor Format File"
"Fields Enclosure","Bidang Lampiran"
"Fixed Price: From","Harga Tetap: Dari"
Filter,Saring
"Unknown attribute filter type","Jenis filter atribut tak dikenal"
"Check Data","Periksa Data"
"Import Settings","Pengaturan Impor"
"Import Behavior","Mengimpor Tindakan"
"Stop on Error","Behenti pada Kesalahan"
"Skip error entries","Lewati kesalahan masuk"
"Allowed Errors Count","Penghitungan Kesalahan yang Diizinkan"
"Please specify number of errors to halt import process","Silahkan tentukan jumlah kesalahan untuk menghentikan proses impor"
"Field separator","Pemisah Bidang"
"Multiple value separator","Beberapa pemisah nilai"
"Fields enclosure","Bidang lampiran"
"File to Import","File untuk Mengimpor"
"Select File to Import","Pilih File untuk Mengimpor"
"Images File Directory","Berkas Direktori Foto"
"Download Sample File","Download Contoh File"
"Please correct the data sent value.","Harap perbaiki nilai pengiriman data."
"Sorry, but the data is invalid or the file is not uploaded.","Maaf, tapi datanya tidak valid atau file tidak diunggah."
Import/Export,Impor/Ekspor
"Import History","Sejarah Impor"
"Import history","Sejarah impor"
"There is no sample file for this entity.","Tidak ada file contoh untuk entitas ini."
"Maximum error count has been reached or system error is occurred!","Jumlah kesalahan maksimum telah tercapai atau kesalahan sistem terjadi!"
"Only the first 100 errors are shown. ","Hanya 100 kesalahan pertama yang ditampilkan. "
"Download full report","Download laporan lengkap"
"Import successfully done","Impor berhasil dilakukan"
"The file was not uploaded.","File tidak diunggah."
"Data validation failed. Please fix the following errors and upload the file again.","Validasi data gagal. Harap perbaiki kesalahan berikut dan unggah file lagi."
